perm_count,danger_perm,exp_act,exp_serv,exp_recv,exp_prov,debuggable,backup,system,cleartext,target_sdk,min_sdk,sms,location,contacts,mic,camera,label
184,2,29,6,29,15,0,0,0,1,36,35,0,1,1,0,0,1
10,1,0,1,0,1,0,1,1,0,37,30,0,1,0,0,0,0
37,2,1,0,7,6,0,0,1,0,36,33,0,0,1,0,0,0
113,4,69,8,14,13,0,0,1,1,37,29,0,1,1,0,1,1
43,2,13,1,2,3,0,0,1,0,36,34,0,0,1,0,0,0
59,1,8,1,8,5,0,0,1,1,36,34,0,0,0,0,1,1
0,0,1,0,2,0,0,0,1,0,36,36,0,0,0,0,0,0
72,7,10,16,4,1,0,1,0,1,35,23,0,1,1,1,1,1
2,0,0,0,0,1,0,0,1,1,36,36,0,0,0,0,0,0
29,2,18,2,15,6,0,1,0,1,37,32,0,0,1,1,0,1
7,0,0,0,3,0,0,1,1,0,36,36,0,0,0,0,0,0
16,0,1,2,5,0,0,1,0,0,36,32,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1,0,36,36,0,0,0,0,0,0
20,1,0,0,0,0,0,0,0,0,36,29,0,0,0,1,0,0
0,0,0,0,0,0,0,1,1,0,36,36,0,0,0,0,0,0
2,0,1,0,0,0,0,1,1,0,36,36,0,0,0,0,0,0
6,0,0,1,0,0,0,1,1,0,36,33,0,0,0,0,0,0
0,0,0,0,0,0,0,1,1,0,36,36,0,0,0,0,0,0
0,0,0,0,0,0,0,1,1,0,33,33,0,0,0,0,0,0
88,0,14,4,3,4,0,1,1,0,36,32,0,0,0,0,0,1
9,0,0,8,2,0,0,0,1,0,36,36,0,0,0,0,0,0
33,1,0,1,1,0,0,1,1,0,36,36,0,1,0,0,0,0
15,0,1,0,2,2,0,0,1,0,35,30,0,0,0,0,0,0
2,0,0,0,0,2,0,0,1,0,35,28,0,0,0,0,0,0
4,0,2,0,1,0,0,0,1,0,36,36,0,0,0,0,0,0
62,6,1,1,6,2,0,0,1,0,36,34,1,1,1,1,1,1
223,5,8,7,12,7,0,0,1,1,36,35,0,0,1,1,1,1
69,0,2,10,2,2,0,0,1,0,35,36,0,0,0,0,0,1
70,0,1,1,1,1,0,1,1,0,35,33,0,0,0,0,0,0
13,0,2,1,3,0,0,0,1,0,36,28,0,0,0,0,0,0
22,0,0,0,0,0,0,0,0,0,36,29,0,0,0,0,0,0
88,7,12,5,4,1,0,1,0,1,36,23,0,1,1,1,1,1
2,0,0,0,1,0,0,1,1,0,36,36,0,0,0,0,0,0
0,0,0,0,0,0,0,1,1,0,36,36,0,0,0,0,0,0
51,0,3,1,6,3,0,0,1,0,36,31,0,0,0,0,0,0
5,0,0,0,1,1,0,1,1,0,36,36,0,0,0,0,0,0
52,1,2,3,3,2,0,0,1,0,36,29,0,0,1,0,0,0
23,0,0,1,0,0,0,0,1,0,35,36,0,0,0,0,0,0
1,0,1,0,0,0,0,1,1,0,35,23,0,0,0,0,0,0
84,7,32,15,18,7,0,1,0,0,36,21,0,1,1,1,1,1
15,1,2,0,1,0,0,0,1,0,36,36,0,1,0,0,0,0
8,2,0,1,0,0,0,1,1,1,36,36,1,0,0,0,0,0
116,4,3,1,13,71,0,0,1,0,36,36,1,1,1,0,0,1
28,2,18,2,15,7,0,1,0,1,37,32,0,0,1,1,0,1
0,0,0,0,0,0,0,1,1,0,36,36,0,0,0,0,0,0
35,0,0,3,0,2,0,0,1,1,36,36,0,0,0,0,0,0
7,1,0,0,0,0,0,0,0,0,35,32,0,0,0,0,1,0
4,1,0,0,0,0,0,1,1,0,37,34,0,0,0,0,0,0
34,4,40,4,4,0,0,0,0,0,35,23,0,1,1,1,1,1
84,7,33,22,34,6,0,1,1,1,37,32,1,1,1,1,1,1
40,0,5,3,2,0,0,1,1,1,36,29,0,0,0,0,0,0
0,0,0,0,0,0,0,1,1,0,33,33,0,0,0,0,0,0
0,0,0,0,0,1,0,0,1,0,35,34,0,0,0,0,0,0
19,1,1,1,3,1,0,0,1,0,36,30,0,0,0,0,0,0
4,0,0,2,1,1,0,0,1,0,36,36,0,0,0,0,0,0
5,0,3,0,1,0,1,1,0,0,36,26,0,0,0,0,0,0
29,4,14,6,5,0,0,0,0,0,37,32,0,1,1,1,1,1
138,3,12,3,9,10,0,0,0,1,36,35,0,0,1,1,0,1
23,0,0,1,7,1,0,0,1,1,35,31,0,0,0,0,0,0
0,0,0,0,0,0,0,1,1,0,35,28,0,0,0,0,0,0
8,1,0,2,3,0,0,0,1,0,36,31,0,0,1,0,0,0
26,0,0,1,1,1,0,0,1,0,35,30,0,0,0,0,0,0
30,0,9,1,7,1,0,0,1,1,36,30,0,0,0,0,0,1
47,3,0,0,2,0,0,1,1,0,36,36,0,1,0,0,1,0
11,0,2,3,5,0,0,1,1,0,37,32,0,0,0,0,0,0
1,0,2,0,1,1,0,0,1,0,37,31,0,0,0,0,0,0
6,0,0,3,0,0,0,1,1,0,35,36,0,0,0,0,0,0
105,0,21,11,21,6,0,0,1,1,37,26,0,0,0,0,0,1
45,0,1,1,6,7,0,0,1,1,36,31,0,0,0,0,0,1
7,0,0,1,14,0,0,0,1,0,30,36,0,0,0,0,0,0
81,2,10,2,3,3,0,1,1,0,36,33,0,0,0,1,0,1
33,0,5,6,4,4,0,1,1,0,37,30,0,0,0,0,0,1
0,0,0,2,0,0,0,0,1,0,36,36,0,0,0,0,0,0
0,0,0,0,0,0,0,1,1,1,36,36,0,0,0,0,0,0
37,2,15,4,7,1,0,0,1,0,36,19,0,0,0,0,1,1
9,1,1,0,1,0,0,1,0,0,36,24,0,1,0,0,0,0
3,0,6,0,1,0,0,1,1,0,36,36,0,0,0,0,0,0
19,0,0,4,2,2,0,0,1,0,35,33,0,0,0,0,0,0
22,1,2,0,0,0,0,0,1,0,36,36,0,0,0,0,0,0
49,0,6,3,11,3,0,0,0,1,37,33,0,0,0,0,0,1
16,1,0,0,0,0,0,0,1,0,35,28,0,0,0,0,1,0
0,0,0,0,0,0,0,1,1,0,36,36,0,0,0,0,0,0
51,1,17,2,37,4,0,0,1,0,36,30,0,1,0,0,0,1
18,2,0,3,0,0,0,1,1,1,35,36,0,0,0,1,1,0
2,0,1,0,0,0,0,1,1,1,36,36,0,0,0,0,0,0
142,4,30,54,27,6,0,1,1,0,37,34,1,0,1,1,0,1
2,0,0,1,0,0,0,1,1,0,36,36,0,0,0,0,0,0
1,0,1,0,1,0,0,1,1,0,36,36,0,0,0,0,0,0
14,0,0,3,2,1,0,0,1,0,35,28,0,0,0,0,0,0
29,0,1,0,2,0,0,0,1,0,36,33,0,0,0,0,0,0
18,0,7,9,2,0,0,0,1,0,36,33,0,0,0,0,0,1
0,0,0,0,0,0,0,1,1,0,36,36,0,0,0,0,0,0
39,6,0,0,0,0,0,1,0,0,35,23,1,1,1,0,1,0
37,2,0,0,0,0,0,0,1,0,35,24,0,0,1,0,1,0
0,0,0,0,0,0,0,1,1,0,36,36,0,0,0,0,0,0
0,0,0,0,0,0,0,1,1,0,36,36,0,0,0,0,0,0
37,1,0,32,4,9,0,0,1,0,36,33,0,0,0,0,0,1
28,0,7,1,5,6,0,0,1,0,36,35,0,0,0,0,0,0
70,0,5,4,4,2,0,0,1,0,36,33,0,0,0,0,0,0
3,0,0,0,2,1,0,0,1,0,36,24,0,0,0,0,0,0
7,0,2,0,0,0,0,0,1,0,36,36,0,0,0,0,0,0
1,0,0,1,0,0,0,0,1,0,36,36,0,0,0,0,0,0
71,5,4,3,10,7,0,0,0,0,36,26,1,0,1,0,0,1
0,0,0,0,0,0,0,1,1,0,36,36,0,0,0,0,0,0
3,0,1,0,1,0,0,1,1,0,36,30,0,0,0,0,0,0
6,0,4,3,2,2,0,1,1,0,36,33,0,0,0,0,0,0
47,1,0,3,4,1,0,0,1,0,35,28,0,0,1,0,0,0
93,1,15,10,16,12,0,1,1,0,36,36,0,0,1,0,0,1
0,0,0,0,0,0,0,1,1,0,36,36,0,0,0,0,0,0
35,0,2,3,8,2,0,0,1,0,36,34,0,0,0,0,0,0
0,0,0,0,0,0,0,1,1,0,36,36,0,0,0,0,0,0
0,0,0,0,0,0,0,1,1,0,36,36,0,0,0,0,0,0
0,0,0,0,0,0,0,1,1,0,36,36,0,0,0,0,0,0
0,0,0,0,0,0,0,1,1,0,36,36,0,0,0,0,0,0
7,0,1,1,0,0,0,0,1,0,36,33,0,0,0,0,0,0
0,0,0,0,0,0,0,1,1,0,33,33,0,0,0,0,0,0
43,2,5,1,7,3,0,0,1,1,36,31,0,1,0,0,0,1
8,0,6,1,1,0,0,1,1,0,36,36,0,0,0,0,0,0
11,0,1,1,2,1,0,0,1,1,36,36,0,0,0,0,0,0
56,2,0,0,1,0,0,1,1,0,36,36,0,0,1,0,0,0
2,1,0,0,2,0,0,1,1,0,36,36,0,0,0,0,0,0
15,0,0,0,3,0,0,1,1,0,36,36,0,0,0,0,0,0
230,8,36,7,36,14,0,0,1,1,36,35,1,1,1,1,1,1
3,0,1,0,1,0,0,0,1,0,36,36,0,0,0,0,0,0
28,0,2,0,2,1,0,0,1,0,36,33,0,0,0,0,0,0
81,6,35,12,14,17,0,1,0,0,36,28,0,1,1,1,1,1
57,3,7,2,10,2,0,0,0,1,37,30,0,1,1,0,1,1
0,0,0,0,0,1,0,0,1,0,35,34,0,0,0,0,0,0
23,0,31,1,2,1,0,0,1,0,36,33,0,0,0,0,0,0
161,2,21,5,36,18,0,0,1,1,36,34,0,0,1,0,1,1
0,0,0,0,0,0,0,1,1,0,36,36,0,0,0,0,0,0
49,6,9,13,3,0,0,1,1,0,36,36,1,0,1,1,1,1
69,5,39,20,22,6,0,1,1,1,37,32,0,0,1,1,1,1
0,0,0,0,0,0,0,1,1,0,36,36,0,0,0,0,0,0
0,0,0,0,0,0,0,1,1,0,36,36,0,0,0,0,0,0
0,0,0,0,0,0,0,1,1,1,36,36,0,0,0,0,0,0
68,5,30,12,20,2,0,1,1,0,37,32,0,0,1,1,1,1
0,0,0,0,0,0,0,1,1,0,36,36,0,0,0,0,0,0
0,0,0,0,0,0,0,1,1,0,36,36,0,0,0,0,0,0
45,0,4,3,12,6,0,0,1,0,33,36,0,0,0,0,0,1
10,1,0,1,1,0,0,1,1,0,36,36,0,0,1,0,0,0
10,0,0,1,1,0,0,1,1,0,35,36,0,0,0,0,0,0
0,0,0,0,0,0,0,1,1,0,33,33,0,0,0,0,0,0
14,1,6,3,6,0,0,0,0,0,35,26,0,0,0,0,1,0
0,0,0,0,0,0,0,1,1,0,35,28,0,0,0,0,0,0
8,0,3,0,1,0,0,0,1,0,36,30,0,0,0,0,0,0
58,0,16,4,14,4,0,0,1,0,37,31,0,0,0,0,0,1
40,4,19,0,4,2,0,0,1,0,35,36,0,1,1,0,0,1
90,4,12,8,5,6,0,0,1,1,36,29,0,1,1,0,1,1
77,5,27,16,20,2,0,0,0,0,35,21,0,1,1,1,1,1
224,3,20,3,9,6,0,0,1,0,36,30,0,1,1,0,0,1
4,0,0,1,1,1,0,1,1,0,36,36,0,0,0,0,0,0
5,0,0,0,2,1,0,0,1,0,36,35,0,0,0,0,0,0
64,2,14,2,5,7,0,0,1,0,36,34,0,0,0,0,1,1
68,6,0,19,6,26,0,0,1,1,36,36,1,1,1,1,1,1
22,3,0,0,0,0,0,0,0,0,35,21,0,1,0,1,1,0
4,0,0,1,0,0,0,1,1,0,36,36,0,0,0,0,0,0
7,0,0,1,4,3,0,0,1,0,36,23,0,0,0,0,0,0
80,3,17,8,12,10,0,0,1,1,36,31,0,0,1,0,0,1
9,1,1,1,0,0,0,1,1,0,36,36,0,1,0,0,0,0
0,0,0,1,0,0,0,1,1,0,36,36,0,0,0,0,0,0
61,1,0,3,2,5,0,0,1,0,35,29,0,1,0,0,0,0
40,0,0,1,3,1,0,0,1,0,36,35,0,0,0,0,0,0
0,0,0,1,0,0,0,1,1,0,36,36,0,0,0,0,0,0
0,0,0,0,0,0,0,1,1,1,36,36,0,0,0,0,0,0
11,0,7,11,3,0,0,1,1,0,36,36,0,0,0,0,0,1
33,0,4,1,5,2,0,0,1,0,36,34,0,0,0,0,0,0
4,0,0,0,1,0,0,1,1,0,36,36,0,0,0,0,0,0
10,0,0,1,0,0,0,1,1,0,36,36,0,0,0,0,0,0
0,0,0,0,3,0,0,1,1,0,36,36,0,0,0,0,0,0
0,0,0,0,0,0,0,1,1,0,36,36,0,0,0,0,0,0
0,0,0,0,0,0,0,1,1,0,36,36,0,0,0,0,0,0
42,5,12,7,11,2,0,0,0,0,36,28,0,1,1,1,1,1
52,0,0,0,5,2,0,0,1,0,35,30,0,0,0,0,0,0
84,2,8,3,9,6,0,0,1,1,36,36,0,0,1,0,0,1
83,2,5,7,4,0,0,0,0,0,35,26,0,0,0,1,1,1
22,2,2,3,7,4,0,0,0,1,34,19,0,0,0,0,1,1
13,0,4,1,1,0,0,1,1,1,36,36,0,0,0,0,0,0
15,0,1,0,3,0,0,1,1,0,36,36,0,0,0,0,0,0
20,2,0,0,0,0,0,0,0,0,35,24,0,1,0,0,1,0
194,5,53,3,20,8,0,0,1,0,36,35,0,0,1,0,1,1
48,2,22,3,9,1,0,0,0,1,35,24,0,1,0,0,1,1
38,3,0,1,5,0,0,0,1,0,36,31,0,0,1,0,0,0
10,1,4,4,1,1,0,0,1,1,36,36,0,0,1,0,0,1
12,1,1,1,1,0,0,1,1,0,37,31,0,1,0,0,0,0
4,0,0,0,1,0,0,0,1,0,36,36,0,0,0,0,0,0
178,3,27,8,20,11,0,0,0,1,36,35,0,1,0,1,0,1
0,0,0,0,0,0,0,1,1,0,36,36,0,0,0,0,0,0
65,5,0,0,0,0,0,0,0,1,35,26,0,1,1,1,1,0
3,0,0,1,1,0,0,0,1,0,37,33,0,0,0,0,0,0
12,0,0,0,1,1,0,0,1,0,36,33,0,0,0,0,0,0
193,2,9,9,10,8,0,0,1,0,36,33,0,0,0,1,1,1
3,0,3,2,4,0,0,0,1,0,37,32,0,0,0,0,0,0
36,2,0,0,0,0,0,1,0,0,37,32,0,0,1,0,1,0
52,4,28,15,28,0,0,1,1,1,37,32,0,1,1,1,1,1
0,0,0,0,0,0,0,1,1,0,37,31,0,0,0,0,0,0
31,1,1,0,5,1,0,0,1,0,36,31,0,0,1,0,0,0
46,0,7,3,7,5,0,0,1,1,36,30,0,0,0,0,0,1
7,0,0,1,1,0,0,1,1,0,36,36,0,0,0,0,0,0
22,0,3,0,4,0,0,0,1,0,36,36,0,0,0,0,0,0
2,0,0,0,0,0,0,0,1,0,35,35,0,0,0,0,0,0
94,0,28,3,15,12,0,0,0,0,36,36,0,0,0,0,0,1
26,1,0,0,3,0,0,1,1,0,36,36,0,1,0,0,0,0
6,0,2,50,1,4,0,1,1,0,36,32,0,0,0,0,0,1
48,3,1,3,10,5,0,0,1,1,36,34,1,0,1,0,0,1
0,0,0,0,0,0,0,1,1,1,36,36,0,0,0,0,0,0
5,0,1,0,2,0,0,0,1,1,36,34,0,0,0,0,0,0
13,1,0,2,0,0,0,1,1,1,37,31,0,1,0,0,0,0
8,0,0,2,2,0,0,1,1,0,37,33,0,0,0,0,0,0
3,0,1,1,3,0,0,1,0,0,37,32,0,0,0,0,0,0
35,5,34,5,14,4,0,1,0,0,37,32,1,0,1,0,0,1
85,4,9,7,16,12,0,0,1,1,36,31,0,0,1,1,0,1
57,2,7,3,3,1,0,0,1,0,36,36,0,0,1,0,0,0
17,0,0,2,2,0,0,0,1,0,35,35,0,0,0,0,0,0
2,0,1,1,0,0,0,0,1,0,36,36,0,0,0,0,0,0
0,0,0,0,0,0,0,1,1,0,36,36,0,0,0,0,0,0
11,0,3,1,3,0,0,1,1,1,35,33,0,0,0,0,0,0
59,4,11,5,11,2,0,1,1,0,36,32,0,1,1,1,1,1
31,2,2,3,11,1,0,0,0,0,36,29,0,1,0,0,0,1
0,0,0,0,0,0,0,1,1,1,36,36,0,0,0,0,0,0
22,0,0,3,4,2,0,1,1,0,36,36,0,0,0,0,0,0
10,0,0,0,0,1,0,0,1,1,35,28,0,0,0,0,0,0
23,0,4,0,0,0,0,0,1,0,36,36,0,0,0,0,0,0
383,8,250,124,35,21,0,1,1,0,37,35,1,1,1,1,1,1
58,3,0,0,1,1,0,0,1,1,36,36,0,0,1,0,0,0
19,1,9,6,5,1,0,1,1,0,36,32,0,0,0,1,0,1
0,0,0,0,0,0,0,0,1,0,34,16,0,0,0,0,0,0
0,0,1,0,0,0,0,1,1,1,36,30,0,0,0,0,0,0
8,0,0,1,0,0,0,0,1,0,36,36,0,0,0,0,0,0
60,5,6,2,6,1,0,0,0,0,35,23,1,1,1,0,1,1
2,0,0,0,1,0,0,1,1,0,36,36,0,0,0,0,0,0
14,0,0,0,7,2,0,0,1,0,36,32,0,0,0,0,0,0
0,0,0,1,0,0,0,1,1,0,36,36,0,0,0,0,0,0
7,1,0,0,0,0,0,0,1,0,35,33,0,0,0,0,0,0
13,0,0,1,6,3,0,0,1,0,36,34,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1,0,36,36,0,0,0,0,0,0
28,2,23,5,15,4,0,1,0,0,37,32,0,0,1,1,0,1
0,0,0,0,0,0,0,1,1,0,36,36,0,0,0,0,0,0
0,0,0,0,0,0,0,1,1,0,36,36,0,0,0,0,0,0
13,0,1,1,3,1,0,0,1,0,36,36,0,0,0,0,0,0
28,0,0,2,6,1,0,0,1,0,35,28,0,0,0,0,0,0
10,0,2,0,2,0,0,1,1,1,36,36,0,0,0,0,0,0
16,0,0,0,0,0,0,1,0,0,36,24,0,0,0,0,0,0
11,0,2,0,1,0,0,1,1,0,36,36,0,0,0,0,0,0
20,0,3,2,1,0,0,0,1,0,36,34,0,0,0,0,0,0
0,0,0,0,0,0,0,1,1,0,36,36,0,0,0,0,0,0
138,1,12,4,8,9,0,0,1,0,36,36,0,0,1,0,0,1
0,0,0,0,0,0,0,1,1,0,33,33,0,0,0,0,0,0
1,0,0,1,0,0,0,1,1,0,36,36,0,0,0,0,0,0
0,0,1,0,0,0,0,1,1,0,37,30,0,0,0,0,0,0
0,0,0,0,0,0,0,1,1,0,36,36,0,0,0,0,0,0
86,1,1,0,1,0,0,1,1,0,36,36,0,0,1,0,0,0
34,2,0,0,0,0,0,0,0,0,36,28,0,0,0,1,1,0
173,4,25,7,29,22,0,0,1,0,36,35,1,1,1,0,0,1
0,0,0,0,0,0,0,1,1,0,36,36,0,0,0,0,0,0
130,0,13,3,3,5,0,0,1,1,35,35,0,0,0,0,0,1
198,2,33,9,20,21,0,0,1,1,36,35,0,0,1,0,0,1
0,0,0,0,0,1,0,0,1,0,36,36,0,0,0,0,0,0
41,5,0,0,0,0,0,0,0,0,36,28,0,1,1,1,1,0
61,4,36,14,11,8,0,1,0,1,36,23,0,1,1,1,1,1
1,0,2,0,1,0,0,1,1,0,37,31,0,0,0,0,0,0
0,0,0,0,0,0,0,1,1,1,36,36,0,0,0,0,0,0
7,0,1,1,0,0,0,1,1,0,35,23,0,0,0,0,0,0
3,0,0,1,1,0,0,0,1,0,36,36,0,0,0,0,0,0
56,5,47,18,30,5,0,1,0,1,37,32,0,1,1,1,1,1
6,0,0,0,1,0,0,0,1,0,35,36,0,0,0,0,0,0
14,0,0,1,9,0,0,0,1,0,36,30,0,0,0,0,0,0
45,0,9,0,6,1,0,1,1,1,36,36,0,0,0,0,0,1
14,0,1,0,1,0,0,1,1,0,36,34,0,0,0,0,0,0
52,4,0,0,0,0,0,0,0,0,36,24,0,1,0,1,1,0
12,1,5,0,1,3,0,0,0,0,34,33,0,0,0,0,1,0
37,0,4,6,1,2,0,0,1,0,37,29,0,0,0,0,0,0
0,0,0,0,1,0,0,1,1,0,36,36,0,0,0,0,0,0
48,5,11,4,7,3,0,0,0,0,36,29,0,1,1,1,1,1
200,3,21,9,29,13,0,0,0,0,36,30,0,1,0,1,1,1
89,0,3,14,4,2,0,0,1,0,36,35,0,0,0,0,0,1
19,0,5,0,3,1,0,1,1,0,37,31,0,0,0,0,0,0
0,0,0,0,0,0,0,1,1,0,36,36,0,0,0,0,0,0
6,0,2,2,2,0,0,1,1,0,36,36,0,0,0,0,0,0
0,0,0,0,0,0,0,1,1,0,33,33,0,0,0,0,0,0
0,0,0,0,0,0,0,1,1,0,37,31,0,0,0,0,0,0
1,0,3,0,0,0,0,1,1,1,36,29,0,0,0,0,0,0
225,6,15,4,19,5,0,0,1,0,36,35,1,1,1,0,0,1
0,0,0,0,0,0,0,1,1,0,36,36,0,0,0,0,0,0
95,6,47,28,28,14,0,1,0,0,36,30,0,1,1,1,1,1
3,0,0,0,4,3,0,0,1,0,36,28,0,0,0,0,0,0
7,0,0,1,2,0,0,1,1,0,36,36,0,0,0,0,0,0
27,0,0,3,0,0,0,0,1,0,35,29,0,0,0,0,0,0
15,2,1,0,2,3,0,1,1,0,36,36,0,1,0,0,1,0
46,0,22,4,14,4,0,0,1,0,36,34,0,0,0,0,0,1
18,3,3,2,6,1,0,0,0,0,36,29,0,1,0,0,1,0
0,0,0,0,0,1,0,1,1,0,36,36,0,0,0,0,0,0
0,0,0,0,0,0,0,1,1,0,36,36,0,0,0,0,0,0
0,0,0,0,0,0,0,1,1,0,36,36,0,0,0,0,0,0
31,1,0,0,0,0,0,0,1,0,35,21,0,1,0,0,0,0
7,0,2,0,1,0,0,1,1,0,36,36,0,0,0,0,0,0
29,0,0,1,2,0,0,0,1,0,35,33,0,0,0,0,0,0
27,2,12,2,6,0,0,0,0,0,35,23,0,1,0,1,0,1
0,0,0,0,0,0,0,1,1,0,36,36,0,0,0,0,0,0
10,1,1,0,0,0,0,1,1,0,34,29,0,0,1,0,0,0
87,6,16,23,18,9,0,1,0,0,36,28,0,1,1,1,1,1
0,0,0,0,0,0,0,1,1,0,36,33,0,0,0,0,0,0
129,3,7,1,7,3,0,0,1,0,36,35,0,0,1,1,0,1
37,5,3,5,5,0,0,0,0,0,35,26,0,1,1,1,1,1
0,0,0,0,0,0,0,1,1,0,33,33,0,0,0,0,0,0
16,0,2,1,3,2,0,0,1,0,36,33,0,0,0,0,0,0
6,0,0,1,2,3,0,0,1,0,36,23,0,0,0,0,0,0
255,5,39,13,28,11,0,1,0,0,36,31,0,1,1,1,1,1
30,0,0,3,3,4,0,1,1,1,35,35,0,0,0,0,0,1
12,0,1,2,3,1,0,0,0,1,36,36,0,0,0,0,0,0
14,1,1,1,6,1,0,1,1,0,36,29,0,1,0,0,0,0
11,0,0,1,2,1,0,1,1,0,36,33,0,0,0,0,0,0
16,1,7,0,2,1,0,1,1,0,37,34,0,0,0,0,0,0
4,0,0,0,2,1,0,1,1,0,36,36,0,0,0,0,0,0
14,1,3,0,4,0,0,0,1,0,36,31,0,1,0,0,0,0
68,4,13,9,14,7,0,0,1,0,36,29,0,1,1,0,0,1
14,0,3,1,3,1,0,0,1,1,35,31,0,0,0,0,0,0
26,1,0,3,7,3,0,1,1,0,35,36,0,0,0,0,0,0
12,0,0,0,1,0,0,0,1,1,36,36,0,0,0,0,0,0
14,0,0,1,2,0,0,1,1,0,36,36,0,0,0,0,0,0
51,3,0,2,2,7,0,0,1,1,35,33,1,0,1,0,0,1
94,3,3,3,5,4,0,0,0,1,36,28,0,1,0,1,1,1
106,5,39,11,13,15,0,0,0,0,36,29,0,1,1,1,1,1
39,1,4,2,8,3,0,0,1,1,36,35,0,0,0,0,0,1
4,0,0,2,1,0,0,1,1,1,36,36,0,0,0,0,0,0
16,1,0,2,1,1,0,0,1,0,36,33,0,0,0,1,0,0
36,0,1,1,9,0,0,0,1,0,36,34,0,0,0,0,0,0
20,1,4,2,14,0,0,1,0,0,36,26,0,0,0,1,0,0
74,4,0,0,0,0,0,0,1,0,36,33,0,1,1,0,0,0
31,3,22,6,7,1,0,0,0,0,35,28,0,0,1,1,1,1
12,0,1,0,3,2,0,1,1,0,36,35,0,0,0,0,0,0
193,3,41,8,12,15,0,0,1,1,36,33,0,0,1,1,1,1
97,1,27,6,15,15,0,0,1,1,37,30,0,0,0,0,1,1
65,2,14,2,7,5,0,0,0,0,34,30,0,0,1,0,0,1
3,0,3,0,1,0,1,1,0,0,36,26,0,0,0,0,0,0
3,0,0,1,0,0,0,1,1,1,35,33,0,0,0,0,0,0
15,0,1,0,1,0,0,0,1,0,36,36,0,0,0,0,0,0
144,3,38,14,17,16,0,0,1,0,36,29,1,0,1,0,0,1
25,0,3,0,1,0,0,1,1,0,36,30,0,0,0,0,0,0
116,2,25,6,18,13,0,0,1,0,36,29,0,0,1,0,0,1
18,0,0,0,1,0,0,1,1,0,36,36,0,0,0,0,0,0
30,2,0,0,1,0,0,0,1,0,36,28,0,1,0,0,0,0
0,0,0,0,0,1,0,1,1,0,36,36,0,0,0,0,0,0
63,6,13,7,11,1,0,0,0,0,36,28,0,1,1,1,1,1
236,5,530,12,61,27,0,1,1,1,36,36,0,1,1,0,1,1
31,0,7,3,11,1,0,0,1,0,36,33,0,0,0,0,0,0
45,0,7,0,1,1,0,0,1,0,36,34,0,0,0,0,0,0
9,0,2,0,1,2,0,0,1,0,36,29,0,0,0,0,0,0
4,0,0,2,0,0,0,0,1,0,35,26,0,0,0,0,0,0
71,0,41,10,22,13,0,0,1,1,36,30,0,0,0,0,0,1
27,0,1,1,12,2,0,0,1,0,36,31,0,0,0,0,0,0
174,2,18,9,16,15,0,0,0,1,36,26,0,0,0,1,1,1
19,1,0,2,2,3,0,0,1,0,36,36,0,1,0,0,0,0
72,0,0,0,0,0,0,0,0,0,35,26,0,0,0,0,0,0
